label,text
phishing,"HSBC Bank: Your account shows unusual sign-in. Re-verify your identity: http://hsbc-secure.xyz/login"
phishing,"You have 1 new voicemail from +1-234-567-8900. Listen here: http://voicemail-access.tk/play?id=new"
phishing,"Urgent: Your email storage is 99% full. Upgrade now to avoid data loss: http://email-upgrade.ml/storage"
phishing,"Your loan application has been APPROVED for $25,000. Claim now: http://instant-loan.cf/approved"
phishing,"Chase Bank Alert: A new device accessed your account. Secure it now: http://chase-secure.xyz/device"
phishing,"Dear user, Your subscription was billed twice. Get your refund: http://billing-refund.tk/claim"
phishing,"SECURITY BREACH: Your personal data was exposed. Take action now: http://data-protection.ml/secure"
safe,"Hi John, please find attached the meeting agenda for tomorrow at 10 AM. Looking forward to seeing you. Best regards, Sarah"
safe,"Your Amazon order #114-3821928-2134567 has been shipped! Expected delivery: Friday, March 8th. Track your package at amazon.com"
safe,"Monthly newsletter: This month's top technology stories and updates. You can unsubscribe anytime from your account settings."
safe,"Reminder: Your appointment with Dr. Smith is scheduled for March 15th at 2:30 PM. Please call if you need to reschedule."
safe,"Thank you for your purchase! Your receipt for $49.99 is attached. For support, contact us at support@company.com"
safe,"Team meeting notes from yesterday's standup are now available on the shared drive. Please review before Thursday's meeting."
safe,"Your GitHub pull request #234 has been approved and merged into the main branch. Great work on this feature!"
safe,"Welcome to our platform! Your account is ready to use. You can login at app.example.com with your registered email address."
safe,"The quarterly report for Q4 2024 is now available for download from the investor portal at investors.company.com"
safe,"Your flight confirmation: Delta flight DL 2491 on March 20th departing at 8:15 AM. Online check-in opens 24 hours before."
safe,"Hi, just wanted to follow up on our conversation from last week. Let me know if you have any questions or need clarification."
safe,"Your Netflix subscription will renew on April 1st for $15.99. You can manage your billing at netflix.com/account"
safe,"New comment on your LinkedIn post: Great article! Very informative and well-researched. Keep up the good work!"
safe,"Your password was changed successfully on March 5th. If this was not you, please contact our support team at security@bank.com"
safe,"Your tax documents are ready for download. Please log in to turbotax.com to access your W-2 and other tax forms."
safe,"Reminder: The team building event is this Friday at 3 PM in the main conference room. Please RSVP to HR by Wednesday."
safe,"Your Spotify playlist has been updated with new recommendations based on your listening history. Check it out in the app."
safe,"Invoice #INV-2024-001 for professional services rendered in February is attached. Payment is due by March 31st."
safe,"Your blood test results are ready. Please log in to the patient portal at health.provider.com to view your results."
safe,"Good news! Your insurance claim #CLM-789012 has been approved. You will receive payment within 5-7 business days."
safe,"The software update for version 3.2.1 is now available. This update includes bug fixes and performance improvements."
safe,"Your gym membership renews on the 15th of each month. Visit the front desk or go to gym.com/account to manage your plan."
safe,"Project deadline reminder: The final report is due this Friday by 5 PM. Please submit via the project management portal."
safe,"Your Uber receipt for the trip on March 5th is ready. Total charged: $12.50. View full details in the Uber app."
safe,"Congratulations on your 5-year anniversary with our company! Your loyalty and dedication are truly appreciated."
safe,"The webinar on Machine Learning fundamentals is scheduled for March 10th at 2 PM EST. Join link: zoom.us/j/123456789"
safe,"Your order from Zomato has been delivered. We hope you enjoyed your meal! Please rate your experience in the app."
safe,"Class schedule update: Tomorrow's lecture has been moved from Room 101 to the Computer Lab on the 3rd floor."
safe,"Your Google Drive storage is at 70% capacity. Consider upgrading your plan at one.google.com/storage if needed."
safe,"The library book you reserved - Introduction to Machine Learning - is now available for pickup at the front desk."
safe,"Your electricity bill for February is $85.40. Payment is due by March 20th. Pay online at energycompany.com/pay"
phishing,"WINNER ALERT: Your email was randomly selected! You won a MacBook Pro. Collect at: http://macbook-winner.xyz/collect"
phishing,"Your iCloud storage is full. Your photos will be deleted in 24h. Upgrade: http://icloud-upgrade.tk/storage"
phishing,"Police cybercrime notice: Your IP address was involved in illegal activity. Call +1-877-555-0199 now!"
phishing,"Free COVID relief fund of $2,400 available for you. Apply at: http://covid-relief-fund.ml/apply"
phishing,"Your LinkedIn profile was viewed 50 times this week. See who viewed you: http://linkedin-viewers.tk/profile"
phishing,"Paytm KYC expired! Your wallet will be blocked. Update KYC: http://paytm-kyc.xyz/update?mobile=required"
phishing,"SBI: Your account will be blocked. Update PAN card details: http://sbi-pan-update.ml/kyc?ac=urgent"
phishing,"Attention: Your debit card has been blocked due to suspicious activity. Unblock: http://card-unblock.cf/verify"
phishing,"HDFC Bank: Unusual transaction of Rs.15,000 detected. Dispute it: http://hdfc-dispute.tk/transaction"
phishing,"Your Aadhaar card is linked to illegal activities. Contact: http://aadhaar-verify.xyz/clear?case=criminal"
safe,"HDFC Bank: Your account XX1234 has been credited with INR 5,000.00 on 05-Mar-2024. Available balance: INR 24,500.00"
safe,"Your OTP for login to SBI NetBanking is 847291. This OTP is valid for 5 minutes. Do not share with anyone."
safe,"Paytm: You have successfully paid Rs. 450.00 to Swiggy on 05-Mar-2024. Reference No: 2024030512345"
safe,"Your UPI transaction of Rs. 200 to Rajesh Kumar (9876543210) is successful. UPI Ref: 403213928180"
safe,"IRCTC: Ticket booking confirmed. Train 12345, PNR 1234567890, Journey date 15-Mar-2024. Check status on IRCTC app."
